rct_number,antibody_name,antibody_category,trial_design,control_arm,phase,enrollment,dose_mg_m2,dose_frequency,duration_days,age_range,gender_distribution,ecog_performance,prior_treatments,comorbidities,baseline_organ_function,adverse_event,toxicity_type,organ_system,severity,ctcae_grade,fraction_affected_%,reversible,manageable,management_strategy,mitigation_strategy,time_to_onset_days,resolution_days,dose_modification_required,dose_modification_type,treatment_discontinuation,fatal_outcome,is_failed_candidate,failure_reason,contributed_to_failure,biomarker_correlation,predictive_factor,risk_stratification
RCT33624,Pembrolizumab,Anti-PD-1,Single-arm,Placebo,Phase 2,44,4,Monthly,85,≥18,40% M/60% F,0-2,4,2,Normal,Nausea,Hematological,Skin,Mild,2,9.66,No,No,Discontinuation,Monitoring,16,49,Yes,Delay,Yes,Yes,No,Competition,No,Negative,None,Medium
RCT42075,Bevacizumab,Anti-VEGF,Randomized,None,Phase 1,97,6,Weekly,93,≥18,60% M/40% F,1-2,0,3,Moderate impairment,Neutropenia,Cardiac,Gastrointestinal,Mild,2,26.82,Yes,No,Discontinuation,Patient education,22,31,No,Discontinuation,Yes,Yes,Yes,Efficacy,Yes,Unknown,Prior treatments,High
RCT82364,Cetuximab,Anti-EGFR,Single-arm,None,Phase 3,70,15,Every 3 weeks,89,18-65,60% M/40% F,0-1,5,0,Mild impairment,Rash,Cardiac,Cardiac,Moderate,3,21.23,Yes,No,Discontinuation,Patient education,4,43,No,Discontinuation,No,Yes,Yes,Competition,No,Positive,Prior treatments,Medium
RCT30884,Rituximab,Anti-CD20,Randomized,Placebo,Phase 1,171,11,Bi-weekly,34,18-65,50% M/50% F,0-1,3,0,Moderate impairment,Fatigue,Dermatological,Cardiac,Severe,4,7.2,Yes,Yes,Supportive care,Dose adjustment,6,40,Yes,Discontinuation,No,No,Yes,Safety,,None,Gender,Low
RCT80598,Trastuzumab,Anti-HER2,Single-arm,Active comparator,Phase 3,154,2,Every 3 weeks,117,18-65,50% M/50% F,0-1,2,0,Mild impairment,Rash,Hepatic,Cardiac,Severe,3,25.33,Yes,No,Supportive care,Premedication,16,13,Yes,Reduction,Yes,Yes,No,Regulatory,No,Negative,None,Medium
RCT67994,Pembrolizumab,Anti-PD-1,Randomized,Active comparator,Phase 2,250,4,Monthly,102,21-85,60% M/40% F,0-1,1,3,Mild impairment,Infusion reaction,Cardiac,Skin,Severe,2,12.77,No,No,Supportive care,Patient education,21,7,No,Discontinuation,Yes,No,No,Efficacy,Yes,Unknown,Gender,Low
RCT18060,Bevacizumab,Anti-VEGF,Crossover,Standard of care,Phase 2,126,9,Every 3 weeks,39,≥18,40% M/60% F,1-2,5,0,Mild impairment,Infusion reaction,Dermatological,Gastrointestinal,Severe,1,18.79,Yes,Yes,Supportive care,Premedication,20,56,No,None,No,Yes,No,,Yes,None,None,High
RCT98391,Cetuximab,Anti-EGFR,Single-arm,Standard of care,Phase 2,167,14,Weekly,83,18-65,40% M/60% F,0-1,1,3,Moderate impairment,Infusion reaction,Hematological,Skin,Severe,1,21.77,No,Yes,Discontinuation,Monitoring,26,60,No,Reduction,No,No,No,Regulatory,Yes,Negative,ECOG,Low
RCT47847,Rituximab,Anti-CD20,Single-arm,None,Phase 1,139,12,Monthly,93,18-75,50% M/50% F,0-2,1,3,Normal,Nausea,Hepatic,Hepatic,Moderate,4,21.06,No,Yes,Dose reduction,Dose adjustment,13,33,No,None,No,Yes,No,Regulatory,Yes,Positive,Gender,Unknown
RCT71689,Trastuzumab,Anti-HER2,Crossover,Active comparator,Phase 3,139,15,Bi-weekly,93,18-65,40% M/60% F,1-2,1,0,Moderate impairment,Nausea,Hematological,Gastrointestinal,Severe,5,23.1,Yes,No,Supportive care,Patient education,10,17,Yes,None,Yes,Yes,Yes,Regulatory,No,Unknown,None,Low
RCT68655,Pembrolizumab,Anti-PD-1,Single-arm,None,Phase 2,164,6,Bi-weekly,178,18-75,60% M/40% F,0-2,3,3,Moderate impairment,Nausea,Gastrointestinal,Skin,Severe,2,14.57,Yes,No,Treatment hold,Patient education,11,58,No,Delay,Yes,Yes,No,Safety,Yes,Negative,Prior treatments,Low
RCT77779,Bevacizumab,Anti-VEGF,Crossover,Standard of care,Phase 2,221,5,Every 3 weeks,66,18-75,60% M/40% F,0-2,2,1,Normal,Fatigue,Hematological,Skin,Moderate,3,17.77,Yes,No,Treatment hold,Monitoring,25,20,No,Delay,No,No,Yes,,,Positive,ECOG,High
RCT23015,Cetuximab,Anti-EGFR,Single-arm,Placebo,Phase 2,282,15,Every 3 weeks,114,≥18,40% M/60% F,0-1,2,0,Mild impairment,Rash,Hematological,Skin,Severe,4,15.53,No,Yes,Discontinuation,Dose adjustment,9,39,Yes,Reduction,No,No,Yes,Regulatory,No,Unknown,ECOG,High
RCT84965,Rituximab,Anti-CD20,Randomized,Active comparator,Phase 1,38,3,Weekly,104,21-85,40% M/60% F,1-2,3,3,Normal,Neutropenia,Gastrointestinal,Blood,Mild,5,22.14,Yes,No,Supportive care,Premedication,9,8,No,Reduction,No,No,Yes,Competition,No,None,Age,Low
RCT47200,Trastuzumab,Anti-HER2,Crossover,None,Phase 3,199,7,Bi-weekly,54,18-65,60% M/40% F,0-2,4,1,Mild impairment,Neutropenia,Gastrointestinal,Blood,Mild,3,27.11,Yes,No,Discontinuation,Premedication,15,31,Yes,Delay,No,Yes,Yes,Efficacy,,Unknown,Prior treatments,Unknown
RCT81050,Pembrolizumab,Anti-PD-1,Single-arm,Placebo,Phase 3,223,7,Weekly,55,≥18,50% M/50% F,0-2,3,0,Moderate impairment,Nausea,Dermatological,Cardiac,Severe,1,28.0,Yes,No,Dose reduction,Premedication,15,35,Yes,None,No,No,Yes,Regulatory,,None,ECOG,Medium
RCT94718,Bevacizumab,Anti-VEGF,Single-arm,Standard of care,Phase 3,123,14,Weekly,64,≥18,60% M/40% F,0-1,1,2,Mild impairment,Fatigue,Cardiac,Skin,Moderate,2,16.66,Yes,No,Treatment hold,Monitoring,10,2,Yes,Delay,No,Yes,No,Efficacy,,Positive,Prior treatments,Medium
RCT65108,Cetuximab,Anti-EGFR,Single-arm,Active comparator,Phase 1,41,1,Every 3 weeks,62,18-75,60% M/40% F,0-1,4,3,Normal,Fatigue,Hepatic,Skin,Moderate,5,18.36,No,No,Treatment hold,Premedication,12,60,Yes,Discontinuation,No,Yes,Yes,Efficacy,Yes,Unknown,Age,Low
RCT98028,Rituximab,Anti-CD20,Crossover,None,Phase 3,69,1,Bi-weekly,56,≥18,40% M/60% F,0-2,0,2,Mild impairment,Neutropenia,Gastrointestinal,Blood,Moderate,5,29.94,No,No,Dose reduction,Premedication,8,12,Yes,Delay,No,No,Yes,,No,Negative,Prior treatments,High
RCT36156,Trastuzumab,Anti-HER2,Randomized,Active comparator,Phase 3,208,1,Weekly,53,21-85,50% M/50% F,0-2,2,2,Moderate impairment,Fatigue,Cardiac,Hepatic,Severe,2,7.07,No,No,Treatment hold,Patient education,20,46,Yes,Delay,No,No,No,Safety,Yes,None,ECOG,High
RCT86014,Pembrolizumab,Anti-PD-1,Single-arm,Active comparator,Phase 2,132,14,Weekly,111,21-85,50% M/50% F,1-2,3,1,Normal,Rash,Hepatic,Blood,Moderate,1,28.14,No,No,Dose reduction,Patient education,13,60,Yes,Discontinuation,Yes,Yes,No,,,Unknown,Prior treatments,Medium
RCT61501,Bevacizumab,Anti-VEGF,Randomized,Standard of care,Phase 3,177,2,Monthly,99,18-75,50% M/50% F,0-2,3,2,Mild impairment,Nausea,Hematological,Skin,Mild,4,29.08,Yes,Yes,Discontinuation,Dose adjustment,18,16,No,Discontinuation,No,No,Yes,,,Positive,Age,Unknown
RCT74974,Cetuximab,Anti-EGFR,Randomized,Standard of care,Phase 3,96,15,Bi-weekly,148,18-65,60% M/40% F,0-2,2,0,Normal,Neutropenia,Dermatological,Blood,Severe,4,26.48,No,No,Treatment hold,Premedication,26,40,No,None,No,No,Yes,Regulatory,No,None,None,Unknown
RCT57059,Rituximab,Anti-CD20,Randomized,Active comparator,Phase 1,166,12,Monthly,151,18-65,50% M/50% F,1-2,3,1,Moderate impairment,Infusion reaction,Cardiac,Hepatic,Mild,5,29.52,No,Yes,Discontinuation,Monitoring,4,52,Yes,Reduction,Yes,No,Yes,Safety,Yes,Unknown,ECOG,Medium
RCT86664,Trastuzumab,Anti-HER2,Crossover,Standard of care,Phase 3,139,4,Weekly,174,≥18,50% M/50% F,0-1,0,2,Mild impairment,Neutropenia,Gastrointestinal,Gastrointestinal,Severe,1,20.73,No,Yes,Dose reduction,Premedication,21,32,No,Delay,Yes,No,Yes,,Yes,None,Age,Medium
RCT29393,Pembrolizumab,Anti-PD-1,Crossover,Standard of care,Phase 2,284,12,Monthly,57,21-85,40% M/60% F,1-2,0,1,Mild impairment,Nausea,Hepatic,Cardiac,Severe,1,9.48,No,Yes,Treatment hold,Monitoring,3,11,No,Delay,Yes,Yes,No,Regulatory,,Unknown,ECOG,Low
RCT63982,Bevacizumab,Anti-VEGF,Single-arm,Standard of care,Phase 1,139,15,Every 3 weeks,35,≥18,50% M/50% F,0-2,4,2,Normal,Fatigue,Gastrointestinal,Blood,Severe,1,6.17,No,Yes,Dose reduction,Patient education,8,39,No,Delay,No,No,Yes,Regulatory,Yes,None,Gender,Unknown
RCT65730,Cetuximab,Anti-EGFR,Crossover,Standard of care,Phase 3,91,7,Weekly,108,≥18,50% M/50% F,0-2,3,3,Moderate impairment,Neutropenia,Cardiac,Blood,Mild,4,15.42,Yes,No,Supportive care,Patient education,26,4,Yes,Delay,No,Yes,No,Safety,,Negative,Prior treatments,High
RCT53954,Rituximab,Anti-CD20,Single-arm,Placebo,Phase 1,201,10,Weekly,87,18-65,40% M/60% F,1-2,2,1,Moderate impairment,Infusion reaction,Cardiac,Cardiac,Moderate,4,14.89,No,No,Dose reduction,Patient education,21,44,No,Reduction,Yes,No,Yes,,,Negative,ECOG,Unknown
RCT89010,Trastuzumab,Anti-HER2,Single-arm,None,Phase 2,279,11,Monthly,34,18-75,60% M/40% F,0-1,2,0,Moderate impairment,Nausea,Cardiac,Hepatic,Severe,3,13.3,No,Yes,Treatment hold,Patient education,21,60,No,Delay,No,Yes,No,Efficacy,No,Negative,None,Medium
RCT10807,Pembrolizumab,Anti-PD-1,Randomized,Standard of care,Phase 2,202,8,Monthly,66,18-75,50% M/50% F,0-2,3,3,Normal,Fatigue,Dermatological,Skin,Mild,4,29.95,Yes,No,Discontinuation,Dose adjustment,5,48,No,Reduction,No,Yes,Yes,Regulatory,No,None,Age,Medium
RCT45347,Bevacizumab,Anti-VEGF,Single-arm,Placebo,Phase 1,60,7,Monthly,171,18-65,40% M/60% F,0-2,1,1,Mild impairment,Infusion reaction,Gastrointestinal,Skin,Moderate,4,2.28,Yes,No,Discontinuation,Dose adjustment,21,27,No,Reduction,No,Yes,No,Safety,,None,Age,Medium
RCT50255,Cetuximab,Anti-EGFR,Single-arm,Standard of care,Phase 2,74,4,Monthly,59,21-85,40% M/60% F,1-2,1,2,Normal,Infusion reaction,Gastrointestinal,Cardiac,Mild,5,9.94,No,No,Supportive care,Premedication,2,46,Yes,None,Yes,Yes,Yes,Competition,No,None,Age,Medium
RCT50384,Rituximab,Anti-CD20,Single-arm,Active comparator,Phase 3,133,8,Bi-weekly,108,18-75,50% M/50% F,0-1,2,1,Moderate impairment,Fatigue,Dermatological,Cardiac,Severe,1,24.48,Yes,Yes,Discontinuation,Monitoring,5,59,Yes,Discontinuation,No,No,No,Safety,,Unknown,ECOG,Medium
RCT87588,Trastuzumab,Anti-HER2,Single-arm,Placebo,Phase 1,217,1,Bi-weekly,150,18-65,50% M/50% F,0-2,1,3,Mild impairment,Nausea,Cardiac,Blood,Mild,4,15.55,Yes,Yes,Dose reduction,Dose adjustment,18,40,Yes,Reduction,No,Yes,No,Competition,,Unknown,Gender,Medium
RCT77449,Pembrolizumab,Anti-PD-1,Crossover,Active comparator,Phase 2,183,1,Monthly,169,21-85,60% M/40% F,1-2,5,1,Moderate impairment,Infusion reaction,Gastrointestinal,Blood,Severe,4,21.54,No,No,Discontinuation,Dose adjustment,11,32,No,Delay,No,Yes,No,Competition,No,None,ECOG,Medium
RCT79275,Bevacizumab,Anti-VEGF,Single-arm,Standard of care,Phase 2,181,7,Every 3 weeks,125,18-75,40% M/60% F,1-2,0,0,Normal,Infusion reaction,Cardiac,Skin,Mild,2,22.02,No,No,Dose reduction,Premedication,22,29,No,Discontinuation,No,Yes,Yes,Regulatory,,Positive,Age,Unknown
RCT38122,Cetuximab,Anti-EGFR,Single-arm,None,Phase 3,85,11,Bi-weekly,75,18-75,40% M/60% F,0-1,3,1,Normal,Infusion reaction,Cardiac,Blood,Severe,2,6.35,Yes,Yes,Dose reduction,Patient education,11,6,No,Reduction,Yes,No,No,,Yes,Positive,Age,Low
RCT50077,Rituximab,Anti-CD20,Randomized,None,Phase 1,38,6,Weekly,107,≥18,40% M/60% F,0-1,5,3,Mild impairment,Infusion reaction,Hepatic,Skin,Severe,5,21.69,No,No,Discontinuation,Patient education,17,48,Yes,Reduction,No,No,Yes,Regulatory,,Unknown,ECOG,Low
RCT91245,Trastuzumab,Anti-HER2,Randomized,Placebo,Phase 1,160,7,Monthly,57,18-65,60% M/40% F,0-2,4,3,Mild impairment,Neutropenia,Gastrointestinal,Hepatic,Severe,2,17.98,No,Yes,Treatment hold,Premedication,16,34,Yes,None,Yes,No,No,Efficacy,No,Negative,Prior treatments,Low
RCT46165,Pembrolizumab,Anti-PD-1,Single-arm,None,Phase 1,290,2,Bi-weekly,153,18-75,40% M/60% F,0-2,1,1,Mild impairment,Fatigue,Hematological,Gastrointestinal,Moderate,3,17.15,No,No,Treatment hold,Monitoring,18,33,Yes,Delay,Yes,Yes,No,Safety,,Positive,ECOG,Low
RCT68970,Bevacizumab,Anti-VEGF,Single-arm,None,Phase 2,207,5,Bi-weekly,66,18-75,50% M/50% F,1-2,1,0,Moderate impairment,Nausea,Dermatological,Cardiac,Severe,1,6.56,No,No,Treatment hold,Dose adjustment,1,52,No,Reduction,No,No,Yes,Efficacy,Yes,Unknown,None,High
RCT19588,Cetuximab,Anti-EGFR,Single-arm,Active comparator,Phase 3,94,6,Bi-weekly,115,≥18,50% M/50% F,0-2,5,1,Normal,Rash,Hepatic,Skin,Severe,2,6.77,Yes,Yes,Supportive care,Dose adjustment,26,9,No,Delay,Yes,No,Yes,,Yes,None,ECOG,Medium
RCT66963,Rituximab,Anti-CD20,Crossover,None,Phase 3,80,6,Every 3 weeks,75,18-65,60% M/40% F,0-1,0,0,Mild impairment,Nausea,Dermatological,Hepatic,Severe,4,8.19,Yes,Yes,Treatment hold,Premedication,15,44,No,Delay,Yes,Yes,Yes,Efficacy,No,Positive,Gender,Medium
RCT46436,Trastuzumab,Anti-HER2,Crossover,Standard of care,Phase 2,209,7,Monthly,120,18-65,40% M/60% F,0-1,1,2,Moderate impairment,Fatigue,Hepatic,Blood,Severe,5,11.94,No,Yes,Treatment hold,Dose adjustment,23,11,No,None,No,Yes,No,Efficacy,Yes,Positive,Age,Unknown
RCT42439,Pembrolizumab,Anti-PD-1,Single-arm,None,Phase 3,231,3,Every 3 weeks,40,21-85,40% M/60% F,0-2,1,3,Moderate impairment,Neutropenia,Cardiac,Hepatic,Severe,4,7.4,Yes,Yes,Discontinuation,Premedication,15,6,No,Delay,No,Yes,No,Safety,,Negative,ECOG,Unknown
RCT20868,Bevacizumab,Anti-VEGF,Single-arm,Standard of care,Phase 1,52,5,Weekly,164,≥18,40% M/60% F,0-2,1,2,Moderate impairment,Rash,Gastrointestinal,Gastrointestinal,Severe,5,8.87,Yes,Yes,Dose reduction,Patient education,13,40,No,None,No,No,No,Efficacy,Yes,None,ECOG,High
RCT79507,Cetuximab,Anti-EGFR,Crossover,Standard of care,Phase 1,29,3,Monthly,68,18-65,60% M/40% F,0-1,4,2,Moderate impairment,Neutropenia,Gastrointestinal,Gastrointestinal,Moderate,3,28.6,No,Yes,Treatment hold,Dose adjustment,25,60,Yes,Discontinuation,No,Yes,No,Efficacy,Yes,Negative,Gender,High
RCT98433,Rituximab,Anti-CD20,Randomized,Placebo,Phase 2,101,8,Bi-weekly,84,21-85,50% M/50% F,0-2,0,3,Normal,Nausea,Hematological,Cardiac,Moderate,4,14.57,No,No,Discontinuation,Dose adjustment,20,14,No,Reduction,Yes,Yes,Yes,Competition,,Positive,ECOG,Unknown
RCT89658,Trastuzumab,Anti-HER2,Crossover,Placebo,Phase 2,219,5,Monthly,145,18-65,60% M/40% F,0-2,0,0,Moderate impairment,Neutropenia,Gastrointestinal,Gastrointestinal,Severe,5,26.58,Yes,No,Supportive care,Patient education,11,19,Yes,None,No,Yes,No,Safety,,Unknown,ECOG,Medium
RCT97669,Pembrolizumab,Anti-PD-1,Single-arm,None,Phase 1,41,8,Monthly,39,18-65,40% M/60% F,0-2,3,2,Moderate impairment,Nausea,Gastrointestinal,Skin,Mild,5,17.87,Yes,No,Supportive care,Patient education,8,14,No,Reduction,No,Yes,No,Regulatory,,Positive,Gender,Low
RCT38853,Bevacizumab,Anti-VEGF,Randomized,Placebo,Phase 3,235,15,Bi-weekly,128,18-65,40% M/60% F,0-2,5,2,Normal,Rash,Gastrointestinal,Gastrointestinal,Mild,2,15.06,Yes,Yes,Discontinuation,Monitoring,21,33,No,Delay,Yes,Yes,Yes,,Yes,Negative,Prior treatments,Low
RCT73623,Cetuximab,Anti-EGFR,Randomized,None,Phase 3,157,12,Weekly,55,18-65,40% M/60% F,0-1,0,0,Moderate impairment,Infusion reaction,Cardiac,Cardiac,Severe,3,20.77,Yes,No,Treatment hold,Dose adjustment,14,51,Yes,Discontinuation,No,Yes,No,,No,Negative,None,Medium
RCT83600,Rituximab,Anti-CD20,Crossover,Standard of care,Phase 1,295,4,Bi-weekly,134,18-65,50% M/50% F,0-2,2,0,Moderate impairment,Infusion reaction,Hematological,Skin,Moderate,1,23.63,No,No,Dose reduction,Dose adjustment,1,23,No,None,No,Yes,Yes,,Yes,Negative,ECOG,High
RCT56922,Trastuzumab,Anti-HER2,Crossover,Standard of care,Phase 2,271,4,Bi-weekly,59,21-85,40% M/60% F,0-1,5,3,Normal,Infusion reaction,Gastrointestinal,Blood,Severe,3,22.16,Yes,Yes,Discontinuation,Monitoring,11,46,No,Delay,Yes,No,No,Competition,No,None,ECOG,Low
RCT70384,Pembrolizumab,Anti-PD-1,Randomized,Active comparator,Phase 3,114,5,Monthly,132,18-65,60% M/40% F,1-2,5,1,Mild impairment,Rash,Hepatic,Skin,Severe,1,13.41,No,Yes,Treatment hold,Monitoring,19,29,No,None,Yes,Yes,Yes,Regulatory,Yes,Negative,Age,High
RCT53989,Bevacizumab,Anti-VEGF,Crossover,Active comparator,Phase 1,187,10,Weekly,126,18-75,50% M/50% F,0-2,5,0,Mild impairment,Infusion reaction,Gastrointestinal,Cardiac,Moderate,3,3.44,Yes,No,Treatment hold,Monitoring,7,55,No,Discontinuation,Yes,No,No,Regulatory,Yes,Positive,ECOG,High
RCT63154,Cetuximab,Anti-EGFR,Single-arm,Placebo,Phase 3,220,3,Monthly,106,21-85,50% M/50% F,0-1,1,1,Moderate impairment,Neutropenia,Hematological,Gastrointestinal,Severe,4,21.0,Yes,No,Discontinuation,Premedication,8,50,Yes,None,No,Yes,Yes,Competition,No,Positive,None,Low
RCT78615,Rituximab,Anti-CD20,Randomized,Active comparator,Phase 1,224,13,Bi-weekly,43,18-65,50% M/50% F,1-2,0,1,Normal,Neutropenia,Hematological,Skin,Moderate,3,25.97,No,No,Supportive care,Dose adjustment,28,38,Yes,Delay,Yes,No,No,,,None,None,High
RCT25940,Trastuzumab,Anti-HER2,Randomized,Placebo,Phase 3,74,6,Every 3 weeks,86,21-85,40% M/60% F,0-1,0,1,Moderate impairment,Rash,Hematological,Skin,Mild,5,26.04,Yes,Yes,Treatment hold,Patient education,12,60,Yes,None,Yes,Yes,No,Safety,,Unknown,Age,High
RCT86173,Pembrolizumab,Anti-PD-1,Randomized,Placebo,Phase 1,176,4,Weekly,64,21-85,50% M/50% F,0-2,5,2,Normal,Infusion reaction,Hepatic,Hepatic,Moderate,4,16.67,No,Yes,Supportive care,Premedication,5,12,Yes,None,Yes,No,No,Safety,No,Positive,ECOG,High
RCT97732,Bevacizumab,Anti-VEGF,Randomized,Standard of care,Phase 3,131,5,Monthly,165,21-85,60% M/40% F,1-2,3,0,Moderate impairment,Neutropenia,Hematological,Cardiac,Mild,4,21.05,No,Yes,Dose reduction,Patient education,14,54,No,Reduction,No,Yes,Yes,Safety,No,Negative,Age,Medium
RCT67279,Cetuximab,Anti-EGFR,Randomized,Active comparator,Phase 2,292,15,Monthly,180,18-75,40% M/60% F,1-2,2,2,Mild impairment,Neutropenia,Hepatic,Cardiac,Mild,1,10.35,Yes,Yes,Treatment hold,Premedication,5,15,No,Reduction,No,No,Yes,,Yes,Unknown,Prior treatments,Medium
RCT71545,Rituximab,Anti-CD20,Crossover,Active comparator,Phase 1,182,14,Monthly,72,18-65,50% M/50% F,0-2,5,0,Normal,Neutropenia,Hematological,Skin,Severe,4,2.03,Yes,No,Discontinuation,Monitoring,25,59,No,None,Yes,No,No,,,Unknown,Gender,Unknown
RCT11926,Trastuzumab,Anti-HER2,Single-arm,Placebo,Phase 2,223,9,Weekly,96,21-85,40% M/60% F,0-2,4,3,Mild impairment,Neutropenia,Hematological,Blood,Mild,2,15.87,No,Yes,Dose reduction,Dose adjustment,22,39,Yes,Delay,No,No,No,,No,Negative,ECOG,Unknown
RCT13806,Pembrolizumab,Anti-PD-1,Crossover,Standard of care,Phase 2,176,10,Weekly,154,18-75,40% M/60% F,0-2,5,3,Mild impairment,Fatigue,Gastrointestinal,Gastrointestinal,Severe,4,14.39,No,No,Supportive care,Premedication,13,39,Yes,Discontinuation,No,No,Yes,,Yes,Negative,Prior treatments,High
RCT43798,Bevacizumab,Anti-VEGF,Crossover,None,Phase 1,232,6,Every 3 weeks,151,21-85,50% M/50% F,1-2,5,3,Moderate impairment,Nausea,Dermatological,Hepatic,Mild,4,24.12,No,No,Dose reduction,Patient education,4,57,Yes,Reduction,No,No,Yes,Efficacy,No,Unknown,ECOG,Unknown
RCT71779,Cetuximab,Anti-EGFR,Single-arm,Placebo,Phase 3,268,12,Weekly,163,21-85,50% M/50% F,1-2,4,1,Moderate impairment,Infusion reaction,Hepatic,Hepatic,Mild,2,14.71,Yes,Yes,Supportive care,Monitoring,28,59,No,Delay,No,No,No,Efficacy,No,Unknown,Gender,High
RCT58130,Rituximab,Anti-CD20,Single-arm,None,Phase 1,260,4,Bi-weekly,134,18-65,40% M/60% F,0-1,5,0,Mild impairment,Fatigue,Hepatic,Blood,Moderate,1,2.51,Yes,No,Treatment hold,Premedication,14,8,Yes,Reduction,Yes,Yes,Yes,Competition,,None,ECOG,Medium
RCT93634,Trastuzumab,Anti-HER2,Crossover,Active comparator,Phase 2,78,10,Bi-weekly,161,18-75,50% M/50% F,0-2,0,0,Moderate impairment,Infusion reaction,Hematological,Skin,Mild,4,14.43,Yes,Yes,Supportive care,Monitoring,10,39,Yes,Discontinuation,Yes,No,Yes,Safety,No,None,ECOG,Low
RCT95223,Pembrolizumab,Anti-PD-1,Randomized,Active comparator,Phase 3,240,3,Bi-weekly,164,18-75,40% M/60% F,1-2,3,0,Mild impairment,Infusion reaction,Dermatological,Gastrointestinal,Moderate,1,3.88,Yes,Yes,Dose reduction,Patient education,15,44,No,Reduction,Yes,No,Yes,,Yes,Negative,Age,High
RCT24150,Bevacizumab,Anti-VEGF,Single-arm,Standard of care,Phase 2,183,13,Every 3 weeks,177,21-85,60% M/40% F,1-2,0,0,Moderate impairment,Infusion reaction,Gastrointestinal,Gastrointestinal,Severe,4,21.19,Yes,Yes,Discontinuation,Monitoring,18,58,No,Delay,No,No,Yes,,Yes,Positive,Gender,Low
RCT37459,Cetuximab,Anti-EGFR,Single-arm,Active comparator,Phase 3,233,6,Monthly,86,18-75,50% M/50% F,1-2,4,0,Mild impairment,Neutropenia,Hematological,Skin,Severe,4,29.33,No,No,Supportive care,Monitoring,7,5,No,Reduction,No,Yes,No,Regulatory,Yes,Negative,Prior treatments,Medium
RCT16651,Rituximab,Anti-CD20,Randomized,None,Phase 2,166,1,Bi-weekly,150,21-85,40% M/60% F,1-2,5,0,Moderate impairment,Fatigue,Hematological,Blood,Mild,1,25.29,No,No,Discontinuation,Dose adjustment,15,33,Yes,Discontinuation,Yes,Yes,Yes,Competition,,Negative,Prior treatments,Low
RCT34034,Trastuzumab,Anti-HER2,Single-arm,None,Phase 1,52,6,Bi-weekly,96,≥18,40% M/60% F,1-2,2,0,Normal,Infusion reaction,Hematological,Gastrointestinal,Severe,4,26.42,No,No,Treatment hold,Patient education,14,46,Yes,Delay,No,No,Yes,Competition,,Negative,Gender,Medium
RCT87478,Pembrolizumab,Anti-PD-1,Randomized,None,Phase 3,96,6,Monthly,87,≥18,60% M/40% F,1-2,2,1,Moderate impairment,Infusion reaction,Gastrointestinal,Gastrointestinal,Mild,3,23.38,Yes,Yes,Treatment hold,Patient education,17,4,Yes,Delay,Yes,Yes,Yes,Safety,,None,None,High
RCT20181,Bevacizumab,Anti-VEGF,Single-arm,Standard of care,Phase 1,192,7,Weekly,32,21-85,40% M/60% F,1-2,5,1,Normal,Nausea,Hepatic,Skin,Mild,4,24.47,Yes,Yes,Dose reduction,Premedication,17,23,No,Discontinuation,Yes,Yes,Yes,Regulatory,Yes,Positive,ECOG,Low
RCT54964,Cetuximab,Anti-EGFR,Single-arm,Standard of care,Phase 1,237,6,Monthly,58,21-85,60% M/40% F,0-2,0,1,Mild impairment,Nausea,Hepatic,Gastrointestinal,Severe,5,19.01,Yes,No,Treatment hold,Patient education,19,9,Yes,None,No,Yes,No,,No,None,Gender,Medium
RCT68550,Rituximab,Anti-CD20,Randomized,None,Phase 2,218,3,Every 3 weeks,97,21-85,50% M/50% F,0-1,1,2,Mild impairment,Nausea,Cardiac,Blood,Mild,2,7.13,No,Yes,Treatment hold,Dose adjustment,17,18,Yes,Delay,No,No,Yes,Competition,,Positive,Age,Unknown
RCT39797,Trastuzumab,Anti-HER2,Crossover,None,Phase 2,229,1,Monthly,44,18-75,40% M/60% F,0-1,1,2,Mild impairment,Rash,Hematological,Blood,Moderate,5,14.62,No,No,Treatment hold,Dose adjustment,23,55,No,Delay,Yes,No,No,,Yes,Positive,ECOG,Unknown
RCT43596,Pembrolizumab,Anti-PD-1,Crossover,None,Phase 3,265,10,Bi-weekly,106,≥18,50% M/50% F,1-2,4,3,Mild impairment,Fatigue,Hepatic,Gastrointestinal,Moderate,4,26.42,No,Yes,Dose reduction,Premedication,7,36,Yes,None,Yes,No,No,,Yes,Positive,Prior treatments,High
RCT94050,Bevacizumab,Anti-VEGF,Randomized,Active comparator,Phase 1,254,14,Bi-weekly,132,21-85,60% M/40% F,0-1,4,3,Normal,Fatigue,Gastrointestinal,Skin,Mild,1,15.49,Yes,No,Supportive care,Monitoring,5,27,Yes,None,No,No,Yes,Safety,Yes,None,Gender,Low
RCT93270,Cetuximab,Anti-EGFR,Randomized,Placebo,Phase 3,88,7,Every 3 weeks,125,21-85,50% M/50% F,0-2,2,0,Moderate impairment,Infusion reaction,Gastrointestinal,Skin,Mild,1,24.35,No,Yes,Dose reduction,Premedication,23,54,No,Reduction,Yes,No,Yes,,Yes,Negative,Prior treatments,Medium
RCT48782,Rituximab,Anti-CD20,Single-arm,Active comparator,Phase 1,169,7,Weekly,38,≥18,60% M/40% F,0-1,2,1,Mild impairment,Nausea,Hematological,Blood,Mild,4,3.73,No,Yes,Treatment hold,Premedication,8,9,No,Discontinuation,Yes,Yes,No,Safety,No,Positive,Prior treatments,Medium
